1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
100.2;0.0;71.6;47.2;0.0
81.0;-0.0;82.1;48.1;-0.0
60.0;-0.0;93.5;48.2;-0.0
48.5;0.0;101.1;46.3;0.0
39.2;-0.0;108.0;46.7;-0.0
31.0;-0.0;116.2;47.9;-0.0
18.4;0.0;121.0;47.3;0.0
9.7;0.0;127.7;47.8;0.0
2.7;0.0;128.5;47.1;0.0
3.1;-0.0;128.2;47.1;-0.0
5.1;-0.0;127.2;46.4;-0.0
12.4;0.0;131.3;47.7;0.0
19.0;0.0;128.8;46.5;0.0
31.4;-0.0;129.1;46.8;-0.0
42.4;0.0;131.0;46.8;0.0
52.4;0.6;130.9;47.0;0.8
53.6;2.4;129.1;47.0;3.1
49.9;5.8;130.1;47.5;7.8
43.7;9.7;132.0;47.2;13.5
37.7;13.1;130.6;47.0;18.6
32.3;15.8;130.8;46.5;22.7
28.5;17.7;128.5;47.0;25.8
25.9;18.6;128.9;47.1;28.0
25.9;18.8;130.8;46.6;28.6
27.3;18.3;128.8;46.8;28.5
27.9;17.7;129.2;47.5;27.5
32.4;16.6;129.2;47.6;26.0
33.0;14.4;130.3;47.6;23.0
37.6;12.2;128.2;47.2;18.9
44.9;8.8;132.0;46.5;14.2
47.7;5.6;128.3;47.1;8.9
52.9;2.6;131.7;47.0;4.2
55.2;0.6;129.3;47.1;1.0
55.6;-0.0;128.8;47.5;-0.0
54.1;0.0;131.1;47.9;0.0
55.6;0.0;129.4;47.5;0.1
59.9;0.0;132.3;47.1;0.0
64.4;-0.0;127.8;47.9;-0.0
71.2;0.0;128.8;47.8;0.0
71.9;0.0;129.7;47.7;0.0
67.9;-0.0;133.0;48.4;-0.0
60.6;-0.0;130.4;48.1;-0.0
55.5;0.0;130.5;47.6;0.0
50.1;0.0;130.7;47.6;0.0
47.3;-0.0;128.8;47.5;-0.0
48.2;-0.0;130.8;47.6;-0.0
58.1;0.0;130.5;47.6;0.0
55.0;0.0;131.4;47.0;0.0
53.9;0.0;130.3;47.7;0.0
45.1;-0.0;130.2;47.8;-0.0
33.9;-0.0;130.6;47.5;-0.0
32.1;0.0;129.1;48.1;0.0
28.9;0.0;129.0;48.5;0.0
26.8;-0.0;128.8;48.5;-0.0
20.1;0.0;130.7;47.9;0.0
16.6;0.0;130.0;46.7;0.0
16.2;0.0;125.9;47.7;0.0
20.2;-0.0;122.3;46.9;-0.0
25.4;0.0;120.3;47.9;0.0
36.8;0.0;112.0;48.4;0.0
49.1;0.0;108.7;47.4;0.0
66.8;-0.0;105.7;48.3;-0.0
83.7;0.0;99.1;48.3;0.0
95.9;1.0;94.7;47.8;1.1
97.6;3.0;92.4;48.2;3.6
92.8;6.1;93.0;48.6;7.6
83.2;9.7;100.2;48.1;12.3
75.3;12.6;102.2;47.9;17.1
72.8;14.9;99.3;47.1;21.5
75.6;17.1;89.6;48.5;25.1
82.7;18.0;78.8;48.8;28.2
87.5;18.9;70.9;48.1;29.7
92.4;19.0;67.6;47.8;30.4
89.1;18.0;69.4;47.9;29.2
87.9;16.2;78.6;47.4;26.7
82.1;14.4;83.5;47.3;23.0
83.9;11.6;87.6;48.4;18.3
96.9;8.7;80.8;48.9;13.6
110.7;5.4;69.8;47.5;8.3
125.6;2.6;60.7;47.2;3.9
130.7;0.6;54.5;48.2;0.9
131.4;-0.0;53.7;48.1;-0.0
128.6;0.0;58.0;48.1;0.0
123.4;0.0;61.2;48.9;0.1
123.9;-0.0;67.9;47.9;-0.0
128.5;-0.0;67.3;48.1;-0.0
136.6;0.0;65.5;48.7;0.0
142.3;0.0;62.7;48.0;0.0
139.1;-0.0;60.6;48.6;-0.0
135.0;-0.0;58.2;48.6;-0.0
129.9;0.0;57.7;48.2;0.0
126.5;0.0;57.5;49.0;0.0
124.9;-0.0;55.6;47.8;-0.0
125.1;-0.0;55.0;49.0;-0.0
136.0;0.0;51.4;48.5;0.0
137.2;0.0;50.2;49.4;0.0
138.4;0.0;47.1;48.1;0.0
131.6;-0.0;45.5;48.6;-0.0
121.3;-0.0;43.7;48.6;-0.0
118.6;0.0;43.0;49.7;0.0
117.1;0.0;42.3;48.1;0.0
115.6;-0.0;42.5;48.0;-0.0
105.6;-0.0;44.3;49.1;-0.0
100.6;0.0;45.5;49.5;0.0
97.5;0.0;44.5;49.4;0.0
98.6;-0.0;45.9;48.8;-0.0
98.5;0.0;45.4;49.3;0.0
106.0;0.0;45.2;48.7;0.0
111.2;0.0;44.9;49.3;0.0
122.8;-0.0;46.4;48.7;-0.0
133.4;0.0;47.2;49.2;0.0
140.9;0.8;48.5;49.3;0.8
142.8;2.9;51.1;49.6;2.8
139.9;6.7;51.4;48.2;6.0
130.9;11.2;53.1;49.3;10.0
121.8;16.0;55.5;48.5;14.0
115.2;20.3;55.2;49.4;17.5
108.4;23.1;55.8;48.6;20.9
105.5;25.1;55.0;49.9;23.1
104.7;25.7;56.0;48.8;25.0
103.6;25.8;55.4;48.8;26.4
102.2;25.1;57.1;48.8;27.1
102.3;23.8;56.8;49.0;27.3
100.4;20.9;58.2;48.6;26.1
104.9;17.7;57.9;49.0;22.9
113.4;13.5;57.1;49.1;18.0
122.2;8.6;57.1;50.1;11.9
128.3;4.2;54.6;49.5;5.7
137.3;1.1;53.8;49.4;1.4
136.1;-0.0;52.2;49.9;-0.0
135.7;0.0;51.7;49.3;0.0
137.3;0.1;50.4;49.0;0.1
140.0;0.0;53.5;48.9;0.0
144.4;-0.0;56.2;48.4;-0.0
147.8;0.0;59.7;49.2;0.0
141.0;0.0;61.7;49.2;0.0
134.3;-0.0;65.7;48.9;-0.0
123.5;-0.0;70.6;49.0;-0.0
116.3;0.0;71.3;49.1;0.0
110.3;0.0;72.9;49.0;0.0
106.6;-0.0;73.2;49.8;-0.0
109.2;-0.0;70.6;50.0;-0.0
122.8;0.0;68.3;49.5;0.0
122.9;0.0;65.9;49.3;0.0
124.4;0.0;64.5;49.8;0.0
115.2;-0.0;64.5;49.4;-0.0
101.9;-0.0;64.9;49.5;-0.0
98.9;0.0;64.4;50.2;0.0
95.8;0.0;65.4;49.1;0.0
96.1;-0.0;64.5;49.5;-0.0
88.3;-0.0;63.5;50.2;-0.0
87.4;0.0;63.0;50.1;0.0
83.5;0.0;61.4;49.7;0.0
83.7;-0.0;63.0;49.4;-0.0
81.8;-0.0;64.8;49.7;-0.0
85.2;0.0;66.8;49.4;0.0
90.5;0.0;69.4;49.4;0.0
100.3;-0.0;71.1;49.4;-0.0
110.0;0.0;71.9;49.8;0.0
121.1;0.6;69.9;49.1;0.9
123.3;2.0;71.7;50.1;2.8
120.6;4.5;70.7;49.8;6.1
114.4;8.4;67.4;49.9;9.5
114.6;13.0;68.7;49.8;13.2
106.0;18.8;68.9;50.2;15.3
96.0;23.2;70.0;50.2;17.3
90.0;27.8;72.0;49.5;18.7
84.2;30.3;73.0;49.9;19.4
80.4;33.1;76.7;50.2;20.1
74.5;33.4;78.8;50.5;21.2
74.4;31.7;79.0;48.6;22.0
74.2;27.3;80.4;50.1;20.9
77.5;22.5;81.9;50.6;19.5
87.7;16.3;82.3;49.6;15.4
92.3;9.6;79.5;50.2;10.3
103.3;4.2;80.7;49.6;4.9
106.5;1.0;78.9;50.8;1.2
108.2;-0.0;79.2;49.7;-0.0
107.0;0.0;79.0;50.3;0.0
108.4;0.0;78.6;50.4;0.1
111.1;-0.0;77.8;50.4;-0.0
117.1;-0.0;78.5;50.1;-0.0
122.8;0.0;80.5;49.9;0.0
123.2;0.0;79.3;50.3;0.0
122.3;-0.0;76.2;50.1;-0.0
118.4;-0.0;73.9;50.1;-0.0
115.0;0.0;73.2;50.2;0.0
114.6;0.0;70.2;49.9;0.0
109.5;-0.0;69.6;50.3;-0.0
108.2;-0.0;70.4;49.9;-0.0
118.2;-0.0;71.4;49.9;-0.0
112.9;0.0;73.0;50.9;0.0
108.3;0.0;77.2;51.6;0.0
99.7;-0.0;78.0;50.4;-0.0
88.8;0.0;78.7;50.1;0.0
85.1;0.0;75.9;50.7;0.0
85.2;0.0;73.7;50.7;0.0
87.6;-0.0;70.0;49.6;-0.0
82.9;-0.0;67.6;50.2;-0.0
80.5;0.0;64.5;50.3;0.0
79.4;0.0;64.6;51.3;0.0
73.6;-0.0;68.9;51.0;-0.0
70.8;0.0;73.6;51.8;0.0
70.0;0.0;81.2;50.5;0.0
70.4;0.0;86.3;50.4;0.0
83.8;-0.0;84.9;50.3;-0.0
95.6;0.0;81.4;51.1;0.0
109.4;0.7;77.6;49.7;1.2
112.6;2.6;74.1;51.0;3.9
111.0;5.5;73.9;51.3;8.3
101.9;9.4;75.4;50.9;13.2
96.2;13.0;78.7;50.7;17.5
88.4;16.9;78.6;50.7;21.6
79.8;20.0;77.1;50.9;25.0
76.9;23.8;78.5;51.2;27.3
74.3;25.9;76.6;51.8;28.3
74.1;27.1;77.0;50.9;30.1
69.0;28.7;75.6;50.9;31.4
69.7;27.5;75.1;51.7;31.7
