1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
97.3;-0.0;72.2;47.5;-0.0
77.5;-0.0;83.6;47.4;-0.0
57.5;0.0;93.9;47.3;0.0
47.5;0.0;102.7;47.2;0.0
37.4;-0.0;110.2;47.2;-0.0
28.8;-0.0;116.5;47.1;-0.0
16.7;0.0;121.9;47.0;0.0
8.3;0.0;126.9;47.0;0.0
2.5;-0.0;130.0;47.0;-0.0
3.2;-0.0;130.0;47.0;-0.0
6.1;0.0;130.0;47.0;0.0
13.6;0.0;130.0;47.0;0.0
21.0;-0.0;130.0;47.0;-0.0
33.7;-0.0;130.0;47.0;-0.0
44.2;0.1;130.0;47.0;0.1
52.4;0.8;130.0;47.1;1.0
53.2;2.8;130.0;47.1;3.7
48.7;6.4;130.0;47.1;8.6
42.5;10.3;130.0;47.1;14.3
36.7;13.7;130.0;47.1;19.5
31.2;16.2;130.0;47.2;23.6
27.5;17.7;130.0;47.2;26.3
25.8;18.5;130.0;47.2;28.0
26.1;18.7;130.0;47.2;28.8
27.9;18.4;130.0;47.2;28.6
28.6;17.5;130.0;47.2;27.6
32.8;16.1;130.0;47.3;25.6
33.5;14.2;130.0;47.3;22.6
38.6;11.6;130.0;47.3;18.4
45.1;8.3;130.0;47.3;13.3
48.6;5.0;130.0;47.3;8.0
53.7;2.2;130.0;47.4;3.5
55.4;0.4;130.0;47.4;0.7
54.7;-0.0;130.0;47.4;-0.0
54.0;0.0;130.0;47.4;0.0
55.9;0.0;130.0;47.4;0.1
60.3;-0.0;130.0;47.4;-0.0
65.8;-0.0;130.0;47.5;-0.0
72.3;0.0;130.0;47.5;0.0
71.6;0.0;130.0;47.5;0.0
67.1;-0.0;130.0;47.5;-0.0
60.3;-0.0;130.0;47.5;-0.0
54.6;0.0;130.0;47.6;0.0
50.0;0.0;130.0;47.6;0.0
46.5;-0.0;130.0;47.6;-0.0
49.8;-0.0;130.0;47.6;-0.0
59.5;0.0;130.0;47.6;0.0
55.2;0.0;130.0;47.7;0.0
53.1;-0.0;130.0;47.7;-0.0
43.3;-0.0;130.0;47.7;-0.0
32.6;0.0;130.0;47.7;0.0
31.2;0.0;130.0;47.7;0.0
28.7;-0.0;130.0;47.7;-0.0
26.2;-0.0;130.0;47.8;-0.0
19.4;0.0;130.0;47.8;0.0
16.1;0.0;129.9;47.8;0.0
16.9;-0.0;126.2;47.8;-0.0
20.8;-0.0;122.5;47.8;-0.0
27.1;0.0;118.4;47.9;0.0
38.6;0.0;113.7;47.9;0.0
51.2;-0.0;108.1;47.9;-0.0
70.1;-0.0;102.0;47.9;-0.0
86.1;0.1;96.6;47.9;0.1
97.5;1.2;93.2;47.9;1.4
98.0;3.5;92.8;48.0;4.2
91.1;6.7;95.6;48.0;8.4
81.6;10.1;99.3;48.0;13.2
74.8;13.0;100.8;48.0;17.7
72.5;15.4;97.2;48.0;21.8
76.6;17.2;87.9;48.1;25.3
83.1;18.4;77.6;48.1;28.0
89.3;19.0;70.1;48.1;29.8
92.3;18.8;67.8;48.1;30.1
88.8;17.8;71.6;48.1;28.7
86.4;16.0;78.8;48.1;25.9
81.2;13.8;85.5;48.2;22.2
86.0;11.1;86.2;48.2;17.7
100.1;8.0;78.8;48.2;12.6
113.7;4.9;68.2;48.2;7.5
127.4;2.2;59.2;48.2;3.2
133.6;0.4;54.5;48.3;0.6
132.5;-0.0;54.9;48.3;-0.0
128.1;0.0;58.5;48.3;0.0
125.2;0.0;63.5;48.3;0.1
126.0;-0.0;67.0;48.3;-0.0
130.8;-0.0;67.3;48.4;-0.0
139.3;0.0;65.2;48.4;0.0
141.2;0.0;62.2;48.4;0.0
139.1;-0.0;59.6;48.4;-0.0
133.7;-0.0;58.2;48.4;-0.0
128.6;0.0;57.4;48.4;0.0
125.0;0.0;56.8;48.5;0.0
122.5;-0.0;55.7;48.5;-0.0
127.3;-0.0;54.0;48.5;-0.0
139.0;0.0;51.7;48.5;0.0
137.0;0.0;49.3;48.5;0.0
137.3;-0.0;47.0;48.6;-0.0
129.3;-0.0;45.0;48.6;-0.0
120.2;0.0;43.4;48.6;0.0
119.8;0.0;42.4;48.6;0.0
117.4;-0.0;42.2;48.6;-0.0
114.1;-0.0;42.9;48.6;-0.0
106.2;0.0;44.0;48.7;0.0
101.5;0.0;45.1;48.7;0.0
98.1;-0.0;45.8;48.7;-0.0
98.1;-0.0;45.9;48.7;-0.0
100.6;0.0;45.5;48.7;0.0
107.7;0.0;45.2;48.8;0.0
114.5;-0.0;45.3;48.8;-0.0
126.2;-0.0;46.0;48.8;-0.0
135.3;0.1;47.3;48.8;0.1
142.2;1.1;48.9;48.8;1.1
141.7;3.4;50.6;48.8;3.2
136.4;7.4;52.4;48.9;6.6
128.8;12.2;54.0;48.9;10.6
121.0;16.9;55.3;48.9;14.7
113.4;20.9;55.9;48.9;18.2
108.0;23.6;56.0;48.9;21.0
104.7;25.1;55.8;49.0;23.2
103.4;25.8;55.6;49.0;25.1
103.0;25.7;55.7;49.0;26.5
100.4;24.8;56.4;49.0;27.4
101.2;23.2;57.3;49.0;27.3
100.4;20.6;57.9;49.1;25.7
105.9;17.0;58.0;49.1;22.2
114.7;12.6;57.2;49.1;16.9
121.9;7.8;55.8;49.1;10.7
131.0;3.6;54.3;49.1;4.8
136.4;0.8;52.9;49.1;1.0
137.3;-0.0;51.9;49.2;-0.0
136.8;0.0;51.6;49.2;0.0
138.2;0.1;52.0;49.2;0.1
141.3;-0.0;53.4;49.2;-0.0
144.0;-0.0;56.0;49.2;-0.0
146.8;0.0;59.4;49.3;0.0
141.7;0.0;63.3;49.3;0.0
133.1;-0.0;67.0;49.3;-0.0
122.9;-0.0;70.2;49.3;-0.0
114.9;0.0;72.4;49.3;0.0
109.6;0.0;73.4;49.3;0.0
106.6;-0.0;72.8;49.4;-0.0
111.6;-0.0;70.8;49.4;-0.0
123.7;0.0;68.3;49.4;0.0
121.9;0.0;65.9;49.4;0.0
121.4;-0.0;64.4;49.4;-0.0
111.9;-0.0;64.1;49.5;-0.0
100.8;0.0;64.5;49.5;0.0
99.0;0.0;65.1;49.5;0.0
96.3;-0.0;65.0;49.5;-0.0
94.6;-0.0;64.0;49.5;-0.0
88.8;0.0;62.8;49.6;0.0
86.2;0.0;61.9;49.6;0.0
83.1;-0.0;61.9;49.6;-0.0
81.6;-0.0;63.2;49.6;-0.0
81.4;0.0;65.3;49.6;0.0
85.5;0.0;67.7;49.6;0.0
90.4;-0.0;69.7;49.7;-0.0
101.8;-0.0;70.9;49.7;-0.0
111.9;0.1;71.2;49.7;0.1
120.7;0.7;70.9;49.7;1.1
122.5;2.3;70.3;49.7;3.3
120.2;5.2;69.4;49.8;6.6
115.7;9.2;68.7;49.8;10.2
110.2;14.1;68.4;49.8;13.4
102.8;19.4;68.7;49.8;15.9
95.1;24.4;69.8;49.8;17.6
88.3;28.5;71.5;49.8;18.7
83.4;31.4;73.5;49.9;19.6
79.6;32.9;75.7;49.9;20.5
74.7;32.7;77.8;49.9;21.4
74.7;30.8;79.5;49.9;21.9
73.2;27.0;80.7;49.9;21.2
78.8;21.5;81.3;50.0;18.9
88.2;14.9;81.2;50.0;14.6
95.4;8.5;80.5;50.0;9.2
103.7;3.5;79.8;50.0;4.1
107.5;0.7;79.3;50.0;0.8
107.4;-0.0;79.1;50.0;-0.0
106.7;0.0;79.2;50.1;0.0
108.5;0.0;79.5;50.1;0.1
112.6;-0.0;79.7;50.1;-0.0
117.8;-0.0;79.7;50.1;-0.0
124.3;0.0;79.3;50.1;0.0
124.2;0.0;78.3;50.2;0.0
121.3;-0.0;76.5;50.2;-0.0
117.1;-0.0;74.1;50.2;-0.0
113.8;0.0;71.6;50.2;0.0
111.5;0.0;69.8;50.2;0.0
108.4;-0.0;69.2;50.3;-0.0
110.5;-0.0;70.3;50.3;-0.0
