1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
12.8;41.5;41.5;69.2;55.4
12.5;41.5;40.7;69.2;55.4
12.2;41.5;39.8;69.2;55.4
11.9;41.5;38.7;69.2;55.4
11.6;41.5;37.6;69.2;55.4
11.2;41.5;36.3;69.2;55.4
10.7;41.5;34.9;69.2;55.4
10.3;41.5;33.4;69.2;55.4
9.8;41.5;31.7;69.2;55.4
9.3;41.5;30.1;69.2;55.4
8.9;41.5;28.9;69.2;55.4
8.6;41.5;27.9;69.2;55.4
8.4;41.5;27.2;69.2;55.4
8.3;41.5;26.9;69.2;55.4
8.2;41.5;26.8;69.2;55.4
8.2;41.5;26.8;69.2;55.4
8.2;41.5;26.7;69.2;55.4
8.2;41.5;26.6;69.2;55.4
8.1;41.5;26.3;69.2;55.4
8.0;41.5;26.0;69.2;55.4
7.9;41.5;25.6;69.2;55.4
7.7;41.5;25.1;69.2;55.4
7.6;41.5;24.7;69.2;55.4
7.5;41.5;24.4;69.2;55.4
7.4;41.5;24.2;69.2;55.4
7.4;41.5;24.0;69.2;55.4
7.4;41.5;23.9;69.2;55.4
7.3;41.5;23.8;69.2;55.4
7.2;41.5;23.5;69.2;55.4
7.1;41.5;23.0;69.2;55.4
6.9;41.5;22.3;69.2;55.4
6.6;41.5;21.5;69.2;55.4
6.3;41.5;20.5;69.2;55.4
6.0;41.5;19.4;69.2;55.4
5.7;41.5;18.5;69.2;55.4
5.5;41.5;17.7;69.2;55.4
5.3;41.5;17.1;69.2;55.4
5.1;41.5;16.5;69.2;55.4
4.9;41.5;16.1;69.2;55.4
4.8;41.5;15.7;69.2;55.4
4.7;41.5;15.3;69.2;55.4
4.6;41.5;14.9;69.2;55.4
4.4;41.5;14.4;69.2;55.4
4.3;41.5;14.0;69.2;55.4
4.2;41.5;13.5;69.2;55.4
4.0;41.5;13.0;69.2;55.4
3.9;41.5;12.7;69.2;55.4
3.8;41.5;12.5;69.2;55.4
3.8;41.5;12.3;69.2;55.4
3.8;41.5;12.3;69.2;55.4
3.8;41.5;12.4;69.2;55.4
3.8;41.5;12.5;69.2;55.4
3.9;41.5;12.6;69.2;55.4
3.9;41.5;12.8;69.2;55.4
4.0;41.5;12.9;69.2;55.4
4.0;41.5;13.0;69.2;55.4
4.1;41.5;13.2;69.2;55.4
4.1;41.5;13.4;69.2;55.4
4.3;41.5;13.8;69.2;55.4
4.4;41.5;14.4;69.2;55.4
4.6;41.5;15.1;69.2;55.4
4.9;41.5;16.0;69.2;55.4
5.2;41.5;17.0;69.2;55.4
5.6;41.5;18.1;69.2;55.4
5.9;41.5;19.1;69.2;55.4
6.2;41.5;20.1;69.2;55.4
6.4;41.5;20.9;69.2;55.4
6.7;41.5;21.7;69.2;55.4
6.9;41.5;22.4;69.2;55.4
7.1;41.5;23.2;69.2;55.4
7.4;41.5;24.2;69.2;55.4
7.8;41.5;25.3;69.2;55.4
8.2;41.5;26.7;69.2;55.4
8.7;41.5;28.2;69.2;55.4
9.2;41.5;30.0;69.2;55.4
9.8;41.5;31.7;69.2;55.4
10.3;41.5;33.4;69.2;55.4
10.8;41.5;35.1;69.2;55.4
11.3;41.5;36.6;69.2;55.4
11.7;41.5;38.0;69.2;55.4
12.1;41.5;39.4;69.2;55.4
12.5;41.5;40.7;69.2;55.4
12.9;41.5;42.1;69.2;55.4
13.4;41.5;43.4;69.2;55.4
13.8;41.5;44.8;69.2;55.4
14.2;41.5;46.3;69.2;55.4
14.7;41.5;47.7;69.2;55.4
15.1;41.5;49.1;69.2;55.4
15.5;41.5;50.4;69.2;55.4
15.8;41.6;51.5;69.3;55.4
16.2;41.6;52.5;69.3;55.4
16.4;41.6;53.4;69.3;55.4
16.7;41.6;54.2;69.3;55.4
16.9;41.6;54.9;69.3;55.4
17.1;41.6;55.6;69.3;55.4
17.3;41.6;56.3;69.3;55.4
17.5;41.6;56.9;69.3;55.4
17.7;41.6;57.4;69.3;55.4
17.8;41.6;58.0;69.3;55.4
18.0;41.6;58.5;69.3;55.4
18.2;41.6;59.0;69.3;55.4
18.3;41.6;59.5;69.3;55.4
18.4;41.6;60.0;69.3;55.4
18.6;41.6;60.4;69.3;55.4
18.7;41.6;60.9;69.3;55.4
18.9;41.6;61.3;69.3;55.4
19.0;41.6;61.7;69.3;55.4
19.1;41.6;62.2;69.3;55.4
