1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
100.2;0.0;71.6;47.2;0.0
95.9;-0.0;72.0;47.6;-0.0
93.3;-0.0;74.1;48.9;-0.0
91.1;-0.0;76.2;47.5;-0.0
86.5;-0.0;78.1;47.2;-0.0
85.0;-0.0;80.1;46.7;-0.0
81.0;-0.0;82.1;48.1;-0.0
76.7;-0.0;82.9;47.3;-0.0
74.0;-0.0;86.1;46.6;-0.0
69.2;-0.0;87.7;47.3;-0.0
65.3;-0.0;89.2;47.4;-0.0
62.3;-0.0;90.9;47.9;-0.0
60.0;-0.0;93.5;48.2;-0.0
56.9;0.0;94.5;47.6;0.0
54.6;0.0;97.6;48.0;0.0
54.0;0.0;96.8;46.2;0.0
53.2;0.0;98.2;47.6;0.0
51.1;0.0;99.9;46.7;0.0
48.5;0.0;101.1;46.3;0.0
47.4;0.0;101.8;47.8;0.0
45.8;0.0;103.1;47.2;0.0
43.7;0.0;104.1;47.1;0.0
42.1;0.0;106.3;48.5;0.0
40.6;0.0;108.2;47.1;0.0
39.2;-0.0;108.0;46.7;-0.0
37.3;-0.0;110.8;47.2;-0.0
36.1;-0.0;112.3;48.4;-0.0
34.6;-0.0;112.1;48.0;-0.0
33.6;-0.0;113.4;46.8;-0.0
32.0;-0.0;114.5;47.4;-0.0
31.0;-0.0;116.2;47.9;-0.0
28.8;-0.0;117.5;45.9;-0.0
26.8;-0.0;117.1;47.4;-0.0
24.8;-0.0;116.6;46.8;-0.0
22.4;-0.0;118.8;46.7;-0.0
20.4;-0.0;121.0;47.6;-0.0
18.4;0.0;121.0;47.3;0.0
16.5;0.0;121.8;47.0;0.0
15.5;0.0;123.8;46.5;0.0
13.8;0.0;123.7;47.2;0.0
12.4;0.0;123.3;47.4;0.0
11.1;0.0;125.2;46.7;0.0
9.7;0.0;127.7;47.8;0.0
8.5;0.0;126.9;45.3;0.0
6.9;0.0;128.3;46.9;0.0
5.5;0.0;126.6;47.4;0.0
4.0;0.0;129.1;47.2;0.0
3.0;0.0;129.9;47.1;0.0
2.7;0.0;128.5;47.1;0.0
2.5;-0.0;128.5;47.5;-0.0
2.5;-0.0;129.2;47.0;-0.0
2.5;-0.0;128.4;45.9;-0.0
2.8;-0.0;130.8;47.1;-0.0
2.9;-0.0;129.0;47.9;-0.0
3.1;-0.0;128.2;47.1;-0.0
3.2;-0.0;128.6;46.9;-0.0
3.4;-0.0;128.8;46.9;-0.0
3.6;-0.0;130.9;46.6;-0.0
3.9;-0.0;129.8;47.6;-0.0
4.5;-0.0;131.0;46.5;-0.0
5.1;-0.0;127.2;46.4;-0.0
6.2;0.0;129.8;46.5;0.0
7.2;0.0;129.5;47.0;0.0
8.6;0.0;130.2;45.8;0.0
9.9;0.0;129.3;47.1;0.0
11.2;0.0;132.3;47.4;0.0
12.4;0.0;131.3;47.7;0.0
13.5;0.0;129.8;46.6;0.0
14.5;0.0;129.6;47.1;0.0
15.4;0.0;130.9;48.2;0.0
16.6;0.0;128.9;47.0;0.0
18.1;0.0;128.5;47.7;0.0
19.0;0.0;128.8;46.5;0.0
20.6;-0.0;130.6;46.4;-0.0
23.1;-0.0;129.8;46.8;-0.0
25.3;-0.0;129.6;46.9;-0.0
27.4;-0.0;129.5;47.3;-0.0
29.4;-0.0;131.5;47.0;-0.0
31.4;-0.0;129.1;46.8;-0.0
33.3;-0.0;129.9;46.7;-0.0
35.4;-0.0;129.3;47.9;-0.0
37.0;-0.0;130.0;47.5;-0.0
38.8;-0.0;132.0;46.8;-0.0
41.0;-0.0;130.7;48.2;-0.0
42.4;0.0;131.0;46.8;0.0
43.4;0.1;132.4;46.6;0.1
45.2;0.1;131.7;46.6;0.2
47.6;0.2;128.3;46.9;0.3
49.4;0.3;130.6;46.6;0.4
50.2;0.4;129.5;47.7;0.6
52.4;0.6;130.9;47.0;0.8
52.3;0.8;128.5;47.0;1.0
53.3;1.0;131.5;47.5;1.3
53.9;1.3;129.2;47.8;1.7
53.3;1.6;131.7;47.2;2.1
53.9;1.9;130.9;47.7;2.6
53.6;2.4;129.1;47.0;3.1
54.1;2.9;130.5;46.5;3.8
51.9;3.3;128.8;47.6;4.4
52.4;3.9;129.2;46.9;5.2
52.0;4.4;130.0;47.4;6.0
51.1;5.1;129.3;47.6;6.9
49.9;5.8;130.1;47.5;7.8
48.0;6.4;128.8;47.4;8.6
46.9;7.1;130.9;46.7;9.6
46.5;7.7;128.5;46.2;10.4
44.8;8.2;129.2;47.2;11.6
45.0;9.0;130.4;47.9;12.5
43.7;9.7;132.0;47.2;13.5
41.9;10.2;129.0;47.4;14.1
41.7;10.9;129.8;46.7;15.6
40.5;11.8;130.7;47.6;16.3
40.1;12.1;130.4;46.3;16.9
38.9;12.7;129.2;46.5;18.0
37.7;13.1;130.6;47.0;18.6
36.3;13.7;130.6;46.9;19.7
35.4;14.3;130.2;47.4;20.0
34.5;14.6;130.8;47.3;21.2
33.9;15.2;132.2;47.4;21.8
33.2;15.8;128.0;46.6;22.5
32.3;15.8;130.8;46.5;22.7
31.6;16.2;130.2;47.1;23.3
30.7;16.7;129.8;46.9;24.4
29.6;17.1;131.0;46.1;25.1
29.8;17.0;128.9;47.3;25.4
28.2;17.2;131.5;47.4;25.4
28.5;17.7;128.5;47.0;25.8
27.9;17.9;128.2;47.4;26.0
27.1;18.0;127.6;47.0;26.9
26.2;18.2;129.1;47.5;26.5
26.5;18.3;130.1;46.7;27.6
26.7;18.6;129.1;47.0;27.5
25.9;18.6;128.9;47.1;28.0
25.8;18.6;130.5;47.6;27.9
25.7;18.3;130.6;46.6;28.0
25.5;18.9;128.5;47.0;28.5
25.9;18.5;128.9;48.3;28.8
25.7;18.5;128.4;48.3;28.4
25.9;18.8;130.8;46.6;28.6
26.0;18.4;129.7;48.0;28.9
26.4;18.9;128.4;47.6;28.3
26.7;18.6;131.6;47.2;28.7
27.0;18.3;129.4;47.1;29.4
27.7;18.4;129.7;47.8;28.6
27.3;18.3;128.8;46.8;28.5
27.9;18.4;132.0;48.2;28.6
27.6;18.3;129.3;46.9;28.4
27.3;18.0;131.5;47.0;28.5
27.4;18.2;128.9;47.2;27.8
27.6;17.8;130.1;46.5;28.4
27.9;17.7;129.2;47.5;27.5
28.8;17.4;130.3;48.0;27.9
29.7;17.3;130.5;48.3;27.4
30.6;16.6;129.6;46.9;26.8
30.6;17.1;130.0;47.2;26.7
31.6;16.5;129.7;47.6;26.1
32.4;16.6;129.2;47.6;26.0
32.9;16.0;129.8;47.6;25.8
33.2;15.5;128.2;47.4;25.3
32.8;15.7;130.5;47.3;24.7
32.9;15.2;128.3;46.8;24.0
33.0;14.7;131.5;48.1;23.9
33.0;14.4;130.3;47.6;23.0
33.8;14.2;130.0;46.8;22.4
33.9;14.0;130.3;48.0;22.0
34.9;13.5;129.6;47.2;21.5
35.2;13.0;130.2;47.9;20.7
36.5;12.7;129.9;47.4;20.0
37.6;12.2;128.2;47.2;18.9
38.2;11.6;130.5;47.5;18.2
40.6;10.9;129.7;48.3;17.8
40.3;10.5;131.3;47.9;16.7
42.7;10.1;129.5;47.1;15.8
43.2;9.4;128.8;46.7;15.1
44.9;8.8;132.0;46.5;14.2
44.5;8.2;128.2;47.7;13.3
45.8;7.8;127.8;46.9;12.5
46.8;7.2;128.6;47.8;11.6
47.3;6.7;132.0;47.1;10.5
46.7;6.1;128.1;47.2;9.7
47.7;5.6;128.3;47.1;8.9
48.9;5.0;131.2;47.7;7.9
48.1;4.5;128.3;48.0;7.2
51.0;4.0;129.7;47.5;6.4
51.5;3.5;131.6;47.3;5.7
52.1;3.1;129.7;47.8;4.8
52.9;2.6;131.7;47.0;4.2
53.7;2.2;132.3;46.7;3.5
54.7;1.8;130.6;47.0;2.9
53.9;1.5;129.0;47.4;2.3
54.2;1.1;129.8;47.6;1.8
55.9;0.8;130.8;48.0;1.4
55.2;0.6;129.3;47.1;1.0
54.6;0.4;132.7;47.9;0.7
55.6;0.3;129.7;47.3;0.4
55.3;0.1;128.9;47.0;0.2
55.4;0.1;132.0;47.6;0.1
55.5;-0.0;131.4;48.5;-0.0
55.6;-0.0;128.8;47.5;-0.0
55.3;-0.0;129.3;47.3;-0.0
54.7;-0.0;131.2;47.9;-0.0
54.7;-0.0;131.9;47.4;-0.0
53.9;-0.0;130.9;47.1;-0.0
53.7;-0.0;132.4;47.3;-0.0
54.1;0.0;131.1;47.9;0.0
