1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
75.0;-0.0;22.1;118.4;-0.0
74.0;-0.0;22.1;118.3;-0.0
72.8;-0.0;22.2;118.3;-0.0
71.4;-0.0;22.2;118.3;-0.0
69.9;-0.0;22.3;118.3;-0.0
68.2;-0.0;22.3;118.3;-0.0
66.4;-0.0;22.4;118.3;-0.0
64.4;-0.0;22.4;118.3;-0.0
62.2;-0.0;22.4;118.3;-0.0
60.2;-0.0;22.5;118.3;-0.0
58.5;-0.0;22.5;118.3;-0.0
57.3;-0.0;22.5;118.3;-0.0
56.4;0.0;22.6;118.3;0.0
55.9;0.0;22.6;118.3;0.0
55.8;0.0;22.6;118.3;0.0
55.8;0.0;22.7;118.3;0.0
55.7;0.0;22.7;118.3;0.0
55.4;0.0;22.7;118.3;0.0
55.1;0.0;22.7;118.3;0.0
54.6;0.0;22.7;118.3;0.0
54.1;0.0;22.7;118.3;0.0
53.5;0.0;22.8;118.3;0.0
53.0;0.0;22.8;118.3;0.0
52.6;-0.0;22.8;118.3;-0.0
52.3;-0.0;22.8;118.3;-0.0
52.1;-0.0;22.8;118.3;-0.0
52.0;-0.0;22.8;118.3;-0.0
51.8;-0.0;22.8;118.3;-0.0
51.4;-0.0;22.7;118.3;-0.0
50.8;-0.0;22.7;118.3;-0.0
50.0;-0.0;22.7;118.3;-0.0
48.9;-0.0;22.7;118.3;-0.0
47.7;-0.0;22.7;118.3;-0.0
46.4;-0.0;22.6;118.3;-0.0
45.3;-0.0;22.6;118.3;-0.0
44.3;0.0;22.6;118.3;0.0
43.5;0.0;22.5;118.3;0.0
42.8;0.0;22.5;118.3;0.0
42.3;0.0;22.5;118.3;0.0
41.9;0.0;22.4;118.3;0.0
41.4;0.0;22.4;118.3;0.0
40.9;0.0;22.3;118.2;0.0
40.4;0.0;22.2;118.2;0.0
39.9;0.0;22.2;118.2;0.0
39.4;0.0;22.1;118.2;0.0
38.9;0.0;22.0;118.2;0.0
38.5;0.0;22.0;118.2;0.0
38.3;0.0;21.9;118.2;0.0
38.2;-0.0;21.8;118.2;-0.0
38.2;-0.0;21.7;118.2;-0.0
38.4;-0.0;21.6;118.2;-0.0
38.7;-0.0;21.5;118.2;-0.0
38.9;-0.0;21.4;118.2;-0.0
39.2;-0.0;21.3;118.2;-0.0
39.5;-0.0;21.3;118.2;-0.0
39.8;-0.0;21.2;118.2;-0.0
40.0;-0.0;21.1;118.2;-0.0
40.4;-0.0;21.0;118.2;-0.0
41.0;-0.0;20.9;118.2;-0.0
41.8;-0.0;20.8;118.2;-0.0
42.8;0.0;20.7;118.2;0.0
44.0;0.0;20.7;118.2;0.0
45.4;0.0;20.6;118.2;0.0
46.9;0.0;20.5;118.2;0.0
48.2;0.0;20.5;118.2;0.0
49.5;0.0;20.4;118.2;0.0
50.6;0.0;20.4;118.2;0.0
51.7;0.0;20.3;118.2;0.0
52.6;0.0;20.3;118.2;0.0
53.7;0.0;20.3;118.2;0.0
54.9;0.0;20.3;118.2;0.0
56.4;0.0;20.3;118.2;0.0
58.1;-0.0;20.3;118.2;-0.0
60.1;-0.0;20.3;118.2;-0.0
62.3;-0.0;20.3;118.2;-0.0
64.5;-0.0;20.3;118.2;-0.0
66.7;-0.0;20.4;118.2;-0.0
68.7;-0.0;20.4;118.2;-0.0
70.6;-0.0;20.5;118.2;-0.0
72.3;-0.0;20.6;118.2;-0.0
74.0;-0.0;20.6;118.1;-0.0
75.6;-0.0;20.7;118.1;-0.0
77.3;-0.0;20.8;118.1;-0.0
78.9;0.0;20.9;118.1;0.0
80.4;0.1;21.0;118.1;0.1
82.0;0.2;21.1;118.1;0.2
83.5;0.2;21.2;118.1;0.3
84.9;0.4;21.3;118.1;0.4
86.1;0.5;21.4;118.1;0.6
87.1;0.7;21.6;118.1;0.8
87.8;0.9;21.7;118.1;1.1
88.2;1.2;21.8;118.1;1.4
88.4;1.5;21.9;118.1;1.8
88.4;1.9;22.0;118.1;2.3
88.2;2.3;22.2;118.1;2.8
87.9;2.8;22.3;118.1;3.4
87.3;3.3;22.4;118.1;4.0
86.6;3.9;22.5;118.1;4.7
85.8;4.5;22.7;118.1;5.5
84.8;5.2;22.8;118.1;6.4
83.8;5.9;22.9;118.1;7.2
82.6;6.6;23.0;118.1;8.2
81.4;7.4;23.1;118.1;9.1
80.2;8.1;23.2;118.1;10.1
79.0;8.8;23.3;118.1;11.0
77.8;9.5;23.4;118.1;12.0
76.6;10.2;23.5;118.1;13.0
75.4;10.9;23.6;118.1;13.9
74.3;11.6;23.6;118.1;14.9
73.3;12.2;23.7;118.1;15.8
72.3;12.8;23.7;118.1;16.7
71.4;13.3;23.8;118.1;17.5
70.5;13.8;23.8;118.1;18.4
69.6;14.3;23.8;118.1;19.2
68.7;14.8;23.8;118.1;20.0
67.9;15.2;23.8;118.1;20.7
67.1;15.5;23.8;118.1;21.4
66.3;15.9;23.7;118.1;22.0
65.6;16.1;23.7;118.1;22.7
65.0;16.4;23.6;118.1;23.2
64.4;16.6;23.5;118.0;23.8
63.9;16.8;23.4;118.0;24.3
63.5;16.9;23.3;118.0;24.7
63.2;17.0;23.2;118.0;25.1
63.0;17.1;23.1;118.0;25.5
62.8;17.2;22.9;118.0;25.9
62.6;17.2;22.8;118.0;26.2
62.6;17.3;22.7;118.0;26.5
62.6;17.3;22.5;118.0;26.7
62.6;17.3;22.4;118.0;26.9
62.6;17.3;22.2;118.0;27.2
