1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
150.8;-0.0;34.5;29.8;-0.0
150.1;-0.0;34.2;29.8;-0.0
149.1;-0.0;34.0;29.8;-0.0
148.0;-0.0;33.8;29.9;-0.0
146.6;-0.0;33.6;29.9;-0.0
145.1;-0.0;33.5;29.9;-0.0
143.3;-0.0;33.5;30.0;-0.0
141.3;-0.0;33.5;30.0;-0.0
139.1;-0.0;33.5;30.0;-0.0
137.0;-0.0;33.6;30.0;-0.0
135.3;-0.0;33.7;30.1;-0.0
133.9;-0.0;33.9;30.1;-0.0
132.8;0.0;34.1;30.1;0.0
132.1;0.0;34.3;30.2;0.0
131.7;0.0;34.5;30.2;0.0
131.4;0.0;34.8;30.2;0.0
131.0;0.0;35.1;30.3;0.0
130.4;0.0;35.5;30.3;0.0
129.7;0.0;35.8;30.3;0.0
128.8;0.0;36.2;30.3;0.0
127.8;0.0;36.6;30.4;0.0
126.8;0.0;37.1;30.4;0.0
125.9;0.0;37.5;30.4;0.0
125.0;-0.0;38.0;30.5;-0.0
124.2;-0.0;38.5;30.5;-0.0
123.4;-0.0;39.0;30.5;-0.0
122.8;-0.0;39.5;30.6;-0.0
122.1;-0.0;40.0;30.6;-0.0
121.1;-0.0;40.5;30.6;-0.0
120.0;-0.0;41.0;30.7;-0.0
118.6;-0.0;41.5;30.7;-0.0
117.0;-0.0;42.0;30.7;-0.0
115.2;-0.0;42.5;30.7;-0.0
113.3;-0.0;43.0;30.8;-0.0
111.7;-0.0;43.5;30.8;-0.0
110.2;0.0;43.9;30.8;0.0
108.9;0.0;44.4;30.9;0.0
107.7;0.0;44.8;30.9;0.0
106.8;0.0;45.1;30.9;0.0
105.9;0.0;45.5;31.0;0.0
105.1;0.0;45.8;31.0;0.0
104.2;0.0;46.1;31.0;0.0
103.4;0.0;46.3;31.1;0.0
102.6;0.0;46.5;31.1;0.0
101.8;0.0;46.6;31.1;0.0
101.2;0.0;46.7;31.1;0.0
100.7;0.0;46.7;31.2;0.0
100.4;0.0;46.6;31.2;0.0
100.3;-0.0;46.5;31.2;-0.0
100.4;-0.0;46.3;31.3;-0.0
100.7;-0.0;46.1;31.3;-0.0
101.1;-0.0;45.8;31.3;-0.0
101.6;-0.0;45.5;31.4;-0.0
102.1;-0.0;45.2;31.4;-0.0
102.6;-0.0;44.8;31.4;-0.0
103.2;-0.0;44.4;31.5;-0.0
103.8;-0.0;43.9;31.5;-0.0
104.5;-0.0;43.5;31.5;-0.0
105.4;-0.0;43.0;31.5;-0.0
106.6;-0.0;42.6;31.6;-0.0
107.9;0.0;42.1;31.6;0.0
109.4;0.0;41.7;31.6;0.0
111.2;0.0;41.3;31.7;0.0
112.9;0.0;40.9;31.7;0.0
114.6;0.0;40.5;31.7;0.0
116.1;0.0;40.1;31.8;0.0
117.6;0.0;39.7;31.8;0.0
118.9;0.0;39.4;31.8;0.0
120.0;0.0;39.2;31.9;0.0
121.2;0.0;38.9;31.9;0.0
122.7;0.0;38.7;31.9;0.0
124.3;0.0;38.6;31.9;0.0
126.1;-0.0;38.4;32.0;-0.0
128.1;-0.0;38.4;32.0;-0.0
130.3;-0.0;38.4;32.0;-0.0
132.5;-0.0;38.4;32.1;-0.0
134.6;-0.0;38.5;32.1;-0.0
136.5;-0.0;38.6;32.1;-0.0
138.3;-0.0;38.7;32.2;-0.0
140.0;-0.0;38.9;32.2;-0.0
141.5;-0.0;39.1;32.2;-0.0
142.9;-0.0;39.3;32.2;-0.0
144.4;-0.0;39.5;32.3;-0.0
145.8;0.0;39.8;32.3;0.0
147.1;0.1;40.1;32.3;0.1
148.4;0.1;40.4;32.4;0.2
149.7;0.2;40.8;32.4;0.3
150.9;0.3;41.1;32.4;0.4
151.8;0.5;41.5;32.5;0.5
152.5;0.6;41.9;32.5;0.7
153.0;0.9;42.3;32.5;0.9
153.2;1.1;42.7;32.6;1.2
153.2;1.4;43.1;32.6;1.5
153.0;1.7;43.5;32.6;1.9
152.6;2.1;43.9;32.6;2.3
152.1;2.5;44.3;32.7;2.8
151.4;3.0;44.7;32.7;3.4
150.6;3.6;45.0;32.7;4.0
149.6;4.2;45.4;32.8;4.6
148.6;4.8;45.8;32.8;5.4
147.4;5.4;46.1;32.8;6.1
146.2;6.1;46.5;32.9;6.9
144.9;6.8;46.8;32.9;7.8
143.6;7.4;47.1;32.9;8.6
142.2;8.1;47.5;33.0;9.5
140.9;8.8;47.8;33.0;10.4
139.6;9.5;48.0;33.0;11.3
138.3;10.1;48.3;33.0;12.2
137.0;10.8;48.6;33.1;13.1
135.8;11.4;48.8;33.1;14.0
134.6;11.9;49.1;33.1;14.9
133.5;12.5;49.3;33.2;15.8
132.3;13.0;49.5;33.2;16.6
131.2;13.5;49.7;33.2;17.5
130.1;14.0;49.8;33.3;18.3
128.9;14.4;50.0;33.3;19.1
127.8;14.8;50.1;33.3;19.9
126.7;15.1;50.3;33.4;20.6
125.7;15.4;50.4;33.4;21.4
124.7;15.7;50.4;33.4;22.0
123.9;16.0;50.5;33.4;22.7
123.0;16.2;50.6;33.5;23.3
122.3;16.4;50.6;33.5;23.9
121.6;16.5;50.6;33.5;24.5
121.0;16.6;50.6;33.6;25.0
120.5;16.7;50.6;33.6;25.5
120.1;16.8;50.6;33.6;26.0
119.7;16.8;50.6;33.7;26.4
119.3;16.9;50.6;33.7;26.8
119.1;16.9;50.5;33.7;27.2
118.8;16.9;50.5;33.8;27.5
118.7;16.8;50.5;33.8;27.9
118.5;16.8;50.5;33.8;28.2
118.4;16.7;50.5;33.8;28.4
118.4;16.7;50.4;33.9;28.7
118.4;16.6;50.5;33.9;28.9
118.5;16.5;50.5;33.9;29.0
118.7;16.4;50.5;34.0;29.2
118.9;16.3;50.5;34.0;29.3
119.3;16.2;50.6;34.0;29.4
119.7;16.1;50.6;34.1;29.4
120.1;15.9;50.7;34.1;29.4
120.3;15.8;50.9;34.1;29.4
120.4;15.7;51.0;34.1;29.3
120.4;15.5;51.1;34.2;29.2
120.3;15.3;51.3;34.2;29.1
120.1;15.2;51.5;34.2;28.9
119.8;15.0;51.8;34.3;28.6
119.8;14.8;52.0;34.3;28.4
119.9;14.6;52.3;34.3;28.1
120.3;14.4;52.5;34.4;27.7
120.8;14.2;52.8;34.4;27.4
121.5;14.0;53.1;34.4;27.0
122.2;13.8;53.4;34.5;26.5
122.7;13.6;53.7;34.5;26.1
123.0;13.3;54.0;34.5;25.6
123.1;13.1;54.4;34.5;25.1
122.9;12.9;54.7;34.6;24.5
122.6;12.6;55.0;34.6;24.0
122.3;12.3;55.3;34.6;23.4
122.1;12.1;55.5;34.7;22.8
122.0;11.8;55.8;34.7;22.1
122.2;11.5;56.1;34.7;21.4
122.5;11.2;56.3;34.8;20.7
122.9;10.9;56.5;34.8;20.0
123.5;10.5;56.7;34.8;19.3
124.2;10.2;56.9;34.9;18.5
125.0;9.8;57.1;34.9;17.7
125.9;9.4;57.2;34.9;16.9
126.9;9.1;57.3;34.9;16.1
128.0;8.6;57.3;35.0;15.2
129.0;8.2;57.4;35.0;14.4
129.9;7.8;57.4;35.0;13.5
130.7;7.4;57.4;35.1;12.6
131.4;6.9;57.3;35.1;11.8
131.9;6.5;57.3;35.1;10.9
132.3;6.0;57.2;35.2;10.1
132.6;5.6;57.1;35.2;9.2
133.0;5.1;57.1;35.2;8.4
133.6;4.7;57.0;35.3;7.6
134.3;4.3;56.9;35.3;6.8
135.0;3.8;56.8;35.3;6.1
135.9;3.4;56.7;35.3;5.4
136.7;3.0;56.6;35.4;4.7
137.5;2.6;56.5;35.4;4.1
138.2;2.3;56.4;35.4;3.5
138.7;1.9;56.3;35.5;2.9
139.2;1.6;56.2;35.5;2.4
139.5;1.3;56.1;35.5;1.9
139.7;1.0;56.0;35.6;1.5
139.9;0.8;56.0;35.6;1.1
140.0;0.6;56.0;35.6;0.8
140.0;0.4;55.9;35.7;0.6
139.9;0.2;56.0;35.7;0.4
139.8;0.1;56.0;35.7;0.2
139.6;0.1;56.0;35.7;0.1
139.4;-0.0;56.0;35.8;-0.0
139.0;-0.0;56.1;35.8;-0.0
138.7;-0.0;56.1;35.8;-0.0
138.4;-0.0;56.2;35.9;-0.0
138.1;-0.0;56.3;35.9;-0.0
137.9;-0.0;56.3;35.9;-0.0
137.7;-0.0;56.4;36.0;-0.0
137.6;0.0;56.5;36.0;0.0
137.5;0.0;56.5;36.0;0.0
137.5;0.0;56.6;36.0;0.0
137.6;0.0;56.6;36.1;0.1
137.9;0.0;56.6;36.1;0.1
138.2;0.0;56.6;36.1;0.1
138.6;0.0;56.6;36.2;0.1
139.1;0.0;56.6;36.2;0.0
139.8;0.0;56.6;36.2;0.0
140.6;0.0;56.5;36.3;0.0
141.4;0.0;56.5;36.3;0.0
142.2;0.0;56.4;36.3;0.0
143.1;0.0;56.2;36.4;0.0
144.0;-0.0;56.1;36.4;-0.0
144.9;-0.0;55.9;36.4;-0.0
145.8;-0.0;55.7;36.4;-0.0
146.8;-0.0;55.5;36.5;-0.0
147.9;-0.0;55.2;36.5;-0.0
149.2;-0.0;55.0;36.5;-0.0
150.6;-0.0;54.7;36.6;-0.0
152.2;-0.0;54.4;36.6;-0.0
153.9;-0.0;54.1;36.6;-0.0
155.5;-0.0;53.8;36.7;-0.0
156.9;-0.0;53.4;36.7;-0.0
158.0;0.0;53.1;36.7;0.0
158.9;0.0;52.8;36.8;0.0
159.5;0.0;52.4;36.8;0.0
159.9;0.0;52.1;36.8;0.0
160.1;0.0;51.8;36.8;0.0
160.2;0.0;51.4;36.9;0.0
160.2;0.0;51.1;36.9;0.0
160.1;0.0;50.8;36.9;0.0
159.8;0.0;50.5;37.0;0.0
159.5;0.0;50.2;37.0;0.0
159.1;0.0;49.9;37.0;0.0
158.5;0.0;49.6;37.1;0.0
157.9;-0.0;49.3;37.1;-0.0
157.1;-0.0;49.0;37.1;-0.0
156.3;-0.0;48.8;37.2;-0.0
155.3;-0.0;48.6;37.2;-0.0
154.3;-0.0;48.4;37.2;-0.0
153.3;-0.0;48.2;37.2;-0.0
152.3;-0.0;48.0;37.3;-0.0
151.4;-0.0;47.9;37.3;-0.0
150.4;-0.0;47.7;37.3;-0.0
149.5;-0.0;47.6;37.4;-0.0
148.6;-0.0;47.6;37.4;-0.0
147.7;-0.0;47.5;37.4;-0.0
146.8;0.0;47.5;37.5;0.0
145.9;0.0;47.5;37.5;0.0
145.1;0.0;47.5;37.5;0.0
144.2;0.0;47.6;37.6;0.0
143.3;0.0;47.7;37.6;0.0
142.4;0.0;47.8;37.6;0.0
141.5;0.0;48.0;37.6;0.0
140.5;0.0;48.2;37.7;0.0
139.5;0.0;48.5;37.7;0.0
138.4;0.0;48.7;37.7;0.0
137.4;0.0;49.1;37.8;0.0
136.4;0.0;49.4;37.8;0.0
135.5;-0.0;49.9;37.8;-0.0
134.7;-0.0;50.3;37.9;-0.0
134.0;-0.0;50.9;37.9;-0.0
133.4;-0.0;51.4;37.9;-0.0
133.0;-0.0;52.0;37.9;-0.0
133.0;-0.0;52.7;38.0;-0.0
133.4;-0.0;53.3;38.0;-0.0
134.2;-0.0;54.0;38.0;-0.0
135.4;-0.0;54.8;38.1;-0.0
137.0;-0.0;55.5;38.1;-0.0
138.5;-0.0;56.3;38.1;-0.0
139.3;-0.0;57.1;38.2;-0.0
139.5;0.0;57.9;38.2;0.0
139.0;0.0;58.7;38.2;0.0
138.0;0.0;59.4;38.3;0.0
136.3;0.0;60.2;38.3;0.0
134.4;0.0;61.0;38.3;0.0
132.7;0.0;61.8;38.3;0.0
131.3;0.0;62.5;38.4;0.0
130.1;0.0;63.2;38.4;0.0
129.2;0.0;63.8;38.4;0.0
128.6;0.0;64.4;38.5;0.0
127.9;0.0;65.0;38.5;0.0
127.1;0.0;65.5;38.5;0.0
126.1;0.0;65.9;38.6;0.0
124.8;-0.0;66.2;38.6;-0.0
123.4;-0.0;66.5;38.6;-0.0
121.8;-0.0;66.7;38.7;-0.0
120.0;-0.0;66.8;38.7;-0.0
118.2;-0.0;66.9;38.7;-0.0
116.3;-0.0;66.9;38.7;-0.0
114.3;-0.0;66.8;38.8;-0.0
112.2;-0.0;66.7;38.8;-0.0
110.1;-0.0;66.6;38.8;-0.0
108.2;-0.0;66.4;38.9;-0.0
106.6;-0.0;66.1;38.9;-0.0
105.6;-0.0;65.8;38.9;-0.0
104.9;0.0;65.5;39.0;0.0
104.7;0.0;65.2;39.0;0.0
104.9;0.0;64.8;39.0;0.0
105.2;0.0;64.4;39.1;0.0
105.5;0.0;64.0;39.1;0.0
105.7;0.0;63.5;39.1;0.0
105.8;0.0;63.1;39.1;0.0
105.8;0.0;62.6;39.2;0.0
105.7;0.0;62.2;39.2;0.0
105.6;0.0;61.7;39.2;0.0
105.6;0.0;61.3;39.3;0.0
105.6;0.0;60.8;39.3;0.0
105.8;-0.0;60.4;39.3;-0.0
106.0;-0.0;60.0;39.4;-0.0
106.2;-0.0;59.5;39.4;-0.0
106.4;-0.0;59.1;39.4;-0.0
106.4;-0.0;58.7;39.5;-0.0
106.1;-0.0;58.3;39.5;-0.0
105.6;-0.0;57.9;39.5;-0.0
104.9;-0.0;57.6;39.5;-0.0
103.9;-0.0;57.2;39.6;-0.0
102.9;-0.0;56.9;39.6;-0.0
102.1;-0.0;56.5;39.6;-0.0
101.3;0.0;56.2;39.7;0.0
100.8;0.0;55.9;39.7;0.0
100.3;0.0;55.6;39.7;0.0
100.0;0.0;55.3;39.8;0.0
99.8;0.0;55.0;39.8;0.0
99.5;0.0;54.7;39.8;0.0
99.2;0.0;54.4;39.9;0.0
98.9;0.0;54.2;39.9;0.0
98.5;0.0;53.9;39.9;0.0
98.1;0.0;53.7;39.9;0.0
97.7;0.0;53.5;40.0;0.0
97.4;0.0;53.3;40.0;0.0
97.2;0.0;53.1;40.0;0.0
97.2;-0.0;52.9;40.1;-0.0
97.2;-0.0;52.7;40.1;-0.0
97.3;-0.0;52.6;40.1;-0.0
97.5;-0.0;52.4;40.2;-0.0
97.7;-0.0;52.3;40.2;-0.0
97.8;-0.0;52.2;40.2;-0.0
98.0;-0.0;52.1;40.2;-0.0
98.1;-0.0;52.0;40.3;-0.0
98.3;-0.0;51.9;40.3;-0.0
98.5;-0.0;51.9;40.3;-0.0
98.9;-0.0;51.8;40.4;-0.0
99.5;0.0;51.8;40.4;0.0
100.3;0.0;51.8;40.4;0.0
101.3;0.0;51.8;40.5;0.0
102.5;0.0;51.8;40.5;0.0
103.7;0.0;51.9;40.5;0.0
104.8;0.0;52.0;40.6;0.0
105.8;0.0;52.1;40.6;0.0
106.6;0.0;52.2;40.6;0.0
107.4;0.0;52.3;40.6;0.0
108.0;0.0;52.5;40.7;0.0
108.7;0.0;52.7;40.7;0.0
109.6;0.0;52.9;40.7;0.0
110.8;0.0;53.1;40.8;0.0
112.3;-0.0;53.3;40.8;-0.0
113.9;-0.0;53.6;40.8;-0.0
115.8;-0.0;53.9;40.9;-0.0
117.8;-0.0;54.2;40.9;-0.0
119.6;-0.0;54.6;40.9;-0.0
121.3;-0.0;54.9;41.0;-0.0
122.9;-0.0;55.3;41.0;-0.0
124.4;-0.0;55.6;41.0;-0.0
125.8;-0.0;56.0;41.0;-0.0
127.1;-0.0;56.3;41.1;-0.0
128.5;-0.0;56.7;41.1;-0.0
129.9;0.0;57.0;41.1;0.0
131.2;0.1;57.4;41.2;0.2
132.6;0.2;57.7;41.2;0.3
133.9;0.3;58.0;41.2;0.5
135.1;0.4;58.3;41.3;0.8
136.1;0.5;58.6;41.3;1.1
136.8;0.7;58.8;41.3;1.4
137.4;0.9;59.0;41.4;1.8
137.6;1.1;59.1;41.4;2.3
137.7;1.3;59.3;41.4;2.8
137.5;1.5;59.3;41.4;3.4
137.3;1.8;59.4;41.5;4.0
137.0;2.1;59.3;41.5;4.8
136.6;2.5;59.3;41.5;5.6
136.1;2.8;59.1;41.6;6.4
135.6;3.2;59.0;41.6;7.4
135.0;3.6;58.8;41.6;8.3
134.3;4.1;58.5;41.7;9.4
133.5;4.5;58.2;41.7;10.4
132.7;5.0;57.9;41.7;11.5
131.9;5.5;57.6;41.8;12.6
131.0;6.0;57.2;41.8;13.8
130.1;6.5;56.8;41.8;14.9
129.2;7.1;56.4;41.8;16.0
128.3;7.6;56.0;41.9;17.2
127.5;8.1;55.6;41.9;18.3
126.7;8.7;55.2;41.9;19.3
125.9;9.2;54.8;42.0;20.4
125.1;9.7;54.4;42.0;21.4
124.3;10.3;54.0;42.0;22.5
123.4;10.8;53.6;42.1;23.4
122.5;11.4;53.3;42.1;24.4
121.5;11.9;52.9;42.1;25.3
120.4;12.5;52.6;42.1;26.2
119.4;13.0;52.3;42.2;27.1
118.3;13.6;52.0;42.2;27.9
117.2;14.2;51.8;42.2;28.7
116.1;14.7;51.6;42.3;29.4
115.0;15.3;51.4;42.3;30.2
113.9;15.8;51.2;42.3;30.8
112.8;16.4;51.1;42.4;31.5
111.7;16.9;51.0;42.4;32.1
110.7;17.4;50.9;42.4;32.7
109.7;18.0;50.8;42.5;33.2
108.7;18.5;50.8;42.5;33.7
107.8;19.0;50.8;42.5;34.2
106.9;19.5;50.8;42.5;34.6
106.0;19.9;50.7;42.6;35.0
105.3;20.4;50.7;42.6;35.3
104.6;20.9;50.8;42.6;35.6
104.0;21.3;50.8;42.7;35.9
103.4;21.7;50.8;42.7;36.1
103.0;22.1;50.8;42.7;36.3
102.6;22.4;50.8;42.8;36.4
102.4;22.8;50.9;42.8;36.5
102.3;23.0;50.9;42.8;36.5
102.3;23.3;50.9;42.9;36.5
102.5;23.5;50.9;42.9;36.4
102.7;23.7;50.9;42.9;36.3
102.9;23.8;50.8;42.9;36.1
103.0;23.9;50.8;43.0;35.8
103.1;23.9;50.8;43.0;35.5
103.1;23.9;50.7;43.0;35.2
103.1;23.8;50.6;43.1;34.8
103.2;23.7;50.5;43.1;34.3
103.5;23.5;50.4;43.1;33.8
104.2;23.3;50.3;43.2;33.3
105.1;23.1;50.2;43.2;32.7
106.2;22.8;50.0;43.2;32.1
107.6;22.5;49.9;43.3;31.5
109.0;22.1;49.8;43.3;30.8
110.3;21.8;49.6;43.3;30.1
111.4;21.4;49.5;43.3;29.4
112.3;20.9;49.3;43.4;28.7
113.0;20.5;49.2;43.4;27.9
113.5;20.0;49.1;43.4;27.1
114.0;19.5;48.9;43.5;26.4
114.6;19.0;48.8;43.5;25.6
115.4;18.4;48.7;43.5;24.7
116.3;17.8;48.5;43.6;23.9
117.4;17.3;48.4;43.6;23.1
118.6;16.6;48.3;43.6;22.2
119.9;16.0;48.2;43.7;21.3
121.2;15.4;48.1;43.7;20.4
122.7;14.7;48.0;43.7;19.5
124.2;14.0;48.0;43.7;18.6
125.8;13.4;47.9;43.8;17.6
127.4;12.7;47.9;43.8;16.7
129.0;11.9;47.9;43.8;15.7
130.4;11.2;47.9;43.9;14.8
131.5;10.5;47.9;43.9;13.9
132.5;9.8;47.9;43.9;12.9
133.3;9.1;47.9;44.0;12.0
133.8;8.4;47.9;44.0;11.1
134.3;7.7;47.9;44.0;10.2
134.9;7.1;48.0;44.0;9.3
135.6;6.4;48.0;44.1;8.4
136.4;5.8;48.1;44.1;7.6
137.2;5.1;48.2;44.1;6.7
138.1;4.5;48.2;44.2;6.0
139.1;4.0;48.3;44.2;5.2
139.8;3.4;48.4;44.2;4.5
140.5;2.9;48.5;44.3;3.8
141.1;2.4;48.6;44.3;3.2
141.5;2.0;48.6;44.3;2.6
141.8;1.6;48.7;44.4;2.1
142.0;1.2;48.8;44.4;1.6
142.1;0.9;48.9;44.4;1.2
142.2;0.7;49.0;44.4;0.9
142.1;0.5;49.1;44.5;0.6
142.1;0.3;49.2;44.5;0.4
141.9;0.1;49.3;44.5;0.2
141.7;0.1;49.4;44.6;0.1
141.4;-0.0;49.6;44.6;-0.0
141.0;-0.0;49.7;44.6;-0.0
140.7;-0.0;49.8;44.7;-0.0
140.3;-0.0;49.9;44.7;-0.0
