1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
118.1;0.0;8.6;94.4;0.0
114.9;-0.0;8.7;94.0;-0.0
111.1;-0.0;8.9;93.7;-0.0
111.1;-0.0;8.7;94.6;-0.0
108.8;-0.0;8.7;93.0;-0.0
108.1;-0.0;8.6;94.6;-0.0
106.0;-0.0;8.6;93.4;-0.0
105.8;-0.0;8.9;94.4;-0.0
103.5;-0.0;8.7;94.5;-0.0
100.2;-0.0;8.6;94.5;-0.0
97.1;-0.0;8.7;93.7;-0.0
96.4;-0.0;8.5;93.5;-0.0
95.2;-0.0;8.5;93.6;-0.0
94.2;0.0;8.4;95.0;0.0
95.1;0.0;8.5;94.1;0.0
93.8;0.0;8.5;96.1;0.0
94.2;0.0;8.3;94.2;0.0
95.7;0.0;8.4;93.9;0.0
95.6;0.0;8.1;93.9;0.0
94.9;0.0;8.3;95.4;0.0
93.7;0.0;8.2;94.9;0.0
93.8;0.0;8.2;95.3;0.0
91.5;0.0;8.2;94.4;0.0
92.8;0.0;8.1;94.5;0.0
91.7;-0.0;7.9;94.7;-0.0
92.0;-0.0;8.0;95.5;-0.0
90.9;-0.0;7.8;95.3;-0.0
91.3;-0.0;7.9;93.4;-0.0
91.7;-0.0;7.8;96.2;-0.0
90.7;-0.0;7.7;97.1;-0.0
90.0;-0.0;7.6;96.1;-0.0
89.6;-0.0;7.4;93.2;-0.0
89.3;-0.0;7.4;93.5;-0.0
88.9;-0.0;7.4;93.3;-0.0
85.4;-0.0;7.4;94.6;-0.0
86.1;-0.0;7.2;95.2;-0.0
83.8;0.0;7.2;93.9;0.0
83.1;0.0;7.1;95.4;0.0
83.4;0.0;7.1;95.1;0.0
82.9;0.0;7.0;96.9;0.0
81.0;0.0;6.9;95.5;0.0
80.7;0.0;6.9;96.0;0.0
80.4;0.0;6.9;94.1;0.0
82.0;0.0;6.7;95.5;0.0
77.8;0.0;6.7;96.7;0.0
79.0;0.0;6.7;95.3;0.0
78.9;0.0;6.7;95.3;0.0
77.3;0.0;6.5;95.2;0.0
77.8;0.0;6.5;96.3;0.0
77.2;-0.0;6.4;93.7;-0.0
78.5;-0.0;6.3;93.8;-0.0
76.7;-0.0;6.3;96.2;-0.0
76.3;-0.0;6.2;96.1;-0.0
77.7;-0.0;6.2;95.2;-0.0
