1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
10.5;41.2;34.2;68.7;54.9
10.3;41.2;33.5;68.7;54.9
10.0;41.2;32.6;68.7;54.9
9.7;41.2;31.6;68.7;54.9
9.4;41.2;30.5;68.6;54.9
9.0;41.2;29.3;68.6;54.9
8.6;41.2;28.0;68.6;54.9
8.2;41.2;26.6;68.6;54.9
7.7;41.2;25.0;68.6;54.9
7.2;41.2;23.5;68.6;54.9
6.9;41.2;22.3;68.6;54.9
6.6;41.2;21.4;68.6;54.9
6.4;41.2;20.8;68.6;54.9
6.3;41.2;20.4;68.6;54.9
6.3;41.2;20.3;68.6;54.9
6.3;41.2;20.4;68.6;54.9
6.3;41.2;20.3;68.6;54.9
6.2;41.2;20.2;68.6;54.9
6.1;41.2;19.9;68.6;54.9
6.0;41.2;19.6;68.6;54.9
5.9;41.2;19.2;68.6;54.9
5.8;41.2;18.8;68.6;54.9
5.7;41.2;18.4;68.6;54.9
5.6;41.2;18.2;68.6;54.9
5.5;41.2;17.9;68.6;54.9
5.5;41.2;17.8;68.6;54.9
5.4;41.2;17.7;68.6;54.9
5.4;41.2;17.6;68.6;54.9
5.3;41.2;17.3;68.6;54.9
5.2;41.2;16.8;68.6;54.9
5.0;41.2;16.2;68.6;54.9
4.7;41.2;15.4;68.6;54.9
4.4;41.2;14.4;68.6;54.9
4.1;41.2;13.5;68.6;54.9
3.9;41.2;12.6;68.6;54.9
3.6;41.2;11.8;68.6;54.9
3.5;41.2;11.2;68.6;54.9
3.3;41.2;10.7;68.6;54.9
3.2;41.2;10.3;68.6;54.9
3.1;41.2;9.9;68.6;54.9
2.9;41.2;9.6;68.6;54.9
2.8;41.2;9.2;68.6;54.9
2.7;41.2;8.8;68.6;54.9
2.6;41.2;8.3;68.6;54.9
2.4;41.2;7.9;68.6;54.9
2.3;41.2;7.4;68.6;54.9
2.2;41.2;7.1;68.6;54.9
2.1;41.2;6.9;68.6;54.9
2.1;41.2;6.8;68.6;54.9
2.1;41.2;6.7;68.6;54.9
2.1;41.2;6.8;68.6;54.9
2.1;41.2;6.9;68.6;54.9
2.2;41.2;7.1;68.6;54.9
2.2;41.2;7.2;68.6;54.9
2.3;41.2;7.3;68.6;54.9
2.3;41.2;7.5;68.6;54.9
2.3;41.2;7.6;68.6;54.9
2.4;41.2;7.8;68.6;54.9
2.5;41.2;8.2;68.6;54.9
2.7;41.2;8.8;68.6;54.9
2.9;41.2;9.4;68.6;54.9
3.2;41.2;10.3;68.6;54.9
3.5;41.2;11.3;68.6;54.9
3.8;41.2;12.3;68.6;54.9
4.1;41.2;13.3;68.6;54.9
4.4;41.2;14.2;68.6;54.9
4.6;41.2;15.0;68.6;54.9
4.9;41.2;15.8;68.6;54.9
5.1;41.2;16.5;68.6;54.9
5.3;41.2;17.2;68.6;54.9
5.6;41.2;18.1;68.6;54.9
5.9;41.2;19.2;68.6;54.9
6.3;41.2;20.5;68.6;54.9
6.8;41.2;22.0;68.6;54.9
7.3;41.2;23.6;68.6;54.9
7.8;41.2;25.3;68.6;54.9
8.3;41.2;27.0;68.6;54.9
8.8;41.2;28.5;68.6;54.9
9.2;41.2;30.0;68.6;54.9
9.6;41.2;31.3;68.6;54.9
10.0;41.2;32.6;68.6;54.9
10.4;41.2;33.9;68.6;54.9
10.8;41.2;35.2;68.6;54.9
11.2;41.2;36.5;68.6;54.9
11.6;41.2;37.8;68.6;54.9
12.1;41.2;39.2;68.6;54.9
12.5;41.2;40.6;68.6;54.9
12.9;41.2;41.9;68.6;54.9
13.3;41.2;43.1;68.6;54.9
13.6;41.2;44.2;68.6;54.9
13.9;41.2;45.2;68.6;54.9
14.2;41.2;46.1;68.6;54.9
14.4;41.2;46.8;68.6;54.9
14.6;41.2;47.5;68.6;54.9
14.8;41.2;48.2;68.6;54.9
15.0;41.2;48.8;68.6;54.9
15.2;41.2;49.4;68.6;54.9
15.4;41.2;49.9;68.6;54.9
15.5;41.2;50.4;68.6;54.9
15.7;41.2;50.9;68.6;54.9
15.8;41.2;51.4;68.6;54.9
16.0;41.2;51.9;68.6;54.9
16.1;41.2;52.3;68.6;54.9
16.2;41.2;52.8;68.6;54.9
16.4;41.2;53.2;68.6;54.9
16.5;41.2;53.6;68.6;54.9
16.6;41.2;54.0;68.6;54.9
16.7;41.2;54.4;68.6;54.9
16.9;41.2;54.9;68.6;54.9
17.0;41.2;55.3;68.6;54.9
17.1;41.2;55.7;68.6;54.9
17.3;41.2;56.1;68.6;54.9
17.4;41.2;56.5;68.6;54.9
17.5;41.2;56.8;68.6;54.9
17.5;41.2;57.0;68.6;54.9
17.6;41.2;57.2;68.6;54.9
17.7;41.2;57.4;68.6;54.9
17.7;41.2;57.5;68.6;54.9
17.7;41.2;57.6;68.6;54.9
17.8;41.2;57.7;68.6;54.9
17.8;41.2;57.8;68.6;54.9
17.8;41.2;57.9;68.6;54.9
17.8;41.2;58.0;68.6;54.9
17.9;41.2;58.0;68.6;54.9
17.9;41.2;58.1;68.6;54.9
17.9;41.2;58.2;68.6;54.9
17.9;41.2;58.2;68.6;54.9
17.9;41.2;58.3;68.6;54.9
18.0;41.2;58.4;68.6;54.9
18.0;41.2;58.5;68.6;54.9
18.0;41.2;58.6;68.6;54.9
18.1;41.2;58.7;68.6;54.9
18.1;41.2;58.8;68.6;54.9
18.1;41.2;58.9;68.6;54.9
18.2;41.2;59.0;68.6;54.9
18.2;41.2;59.1;68.6;54.9
18.2;41.2;59.3;68.6;54.9
18.3;41.1;59.5;68.6;54.9
18.4;41.1;59.8;68.6;54.9
18.5;41.1;60.0;68.6;54.9
18.6;41.1;60.4;68.6;54.9
18.7;41.1;60.6;68.6;54.9
18.7;41.1;60.8;68.6;54.9
18.7;41.1;60.9;68.6;54.9
18.7;41.1;60.8;68.6;54.9
18.7;41.1;60.6;68.6;54.9
18.6;41.1;60.3;68.6;54.9
18.5;41.1;60.1;68.6;54.9
18.4;41.1;59.9;68.6;54.9
18.4;41.1;59.9;68.6;54.9
18.4;41.1;60.0;68.6;54.9
18.5;41.1;60.2;68.6;54.9
18.6;41.1;60.5;68.6;54.9
18.7;41.1;60.8;68.6;54.9
18.7;41.1;60.9;68.6;54.9
18.7;41.1;60.8;68.6;54.9
18.6;41.1;60.6;68.6;54.9
18.5;41.1;60.2;68.6;54.9
18.3;41.1;59.5;68.6;54.9
18.1;41.1;58.9;68.6;54.9
17.9;41.1;58.3;68.6;54.9
17.8;41.1;57.8;68.6;54.9
17.7;41.1;57.4;68.6;54.9
17.6;41.1;57.1;68.6;54.9
17.5;41.1;56.8;68.6;54.9
17.4;41.1;56.7;68.6;54.9
17.4;41.1;56.5;68.6;54.9
17.3;41.1;56.4;68.6;54.9
17.3;41.1;56.2;68.6;54.9
17.3;41.1;56.2;68.6;54.9
17.3;41.1;56.1;68.6;54.9
17.2;41.1;56.0;68.6;54.9
17.2;41.1;55.7;68.6;54.9
17.0;41.1;55.4;68.6;54.9
16.9;41.1;54.9;68.6;54.9
16.7;41.1;54.3;68.6;54.9
16.5;41.1;53.6;68.6;54.9
16.3;41.1;52.8;68.6;54.9
16.1;41.1;52.2;68.6;54.9
15.9;41.1;51.6;68.6;54.9
15.8;41.1;51.2;68.6;54.9
15.6;41.1;50.8;68.6;54.9
15.6;41.1;50.6;68.6;54.9
15.5;41.1;50.4;68.6;54.9
15.4;41.1;50.1;68.6;54.9
15.3;41.1;49.8;68.6;54.9
15.2;41.1;49.5;68.6;54.9
15.1;41.1;49.2;68.6;54.9
15.0;41.1;48.8;68.6;54.9
14.9;41.1;48.4;68.6;54.9
14.8;41.1;48.1;68.6;54.9
14.7;41.1;47.8;68.6;54.9
14.6;41.1;47.5;68.6;54.9
14.5;41.1;47.2;68.6;54.9
14.4;41.1;46.9;68.6;54.9
14.4;41.1;46.7;68.6;54.9
14.3;41.1;46.5;68.6;54.9
14.2;41.1;46.3;68.6;54.9
14.2;41.1;46.1;68.6;54.9
14.1;41.1;46.0;68.6;54.9
14.1;41.1;45.8;68.6;54.9
14.1;41.1;45.7;68.6;54.9
14.0;41.1;45.6;68.6;54.9
14.0;41.1;45.6;68.6;54.9
14.1;41.1;45.7;68.6;54.9
14.1;41.1;45.8;68.6;54.9
14.1;41.1;45.9;68.6;54.9
14.2;41.1;46.1;68.6;54.9
14.3;41.1;46.4;68.6;54.9
14.4;41.1;46.7;68.6;54.9
14.5;41.1;47.1;68.6;54.9
14.7;41.1;47.6;68.6;54.9
14.8;41.1;48.2;68.6;54.9
15.0;41.1;48.7;68.6;54.9
15.2;41.1;49.3;68.6;54.9
15.3;41.1;49.9;68.6;54.9
15.5;41.1;50.4;68.6;54.9
15.7;41.1;51.0;68.6;54.9
15.9;41.1;51.5;68.6;54.9
16.0;41.1;52.1;68.6;54.9
16.3;41.1;52.8;68.6;54.9
16.5;41.1;53.6;68.6;54.9
16.8;41.1;54.5;68.6;54.9
17.1;41.1;55.4;68.6;54.9
17.4;41.1;56.5;68.6;54.9
17.7;41.1;57.5;68.6;54.9
17.9;41.1;58.3;68.6;54.9
18.1;41.1;58.9;68.6;54.9
18.3;41.1;59.4;68.6;54.9
18.3;41.1;59.6;68.6;54.9
18.4;41.1;59.7;68.6;54.9
18.3;41.1;59.6;68.6;54.9
18.3;41.1;59.4;68.6;54.9
18.2;41.1;59.2;68.6;54.9
18.1;41.1;58.9;68.6;54.9
18.0;41.1;58.5;68.6;54.8
17.9;41.1;58.1;68.6;54.8
17.7;41.1;57.5;68.6;54.8
17.5;41.1;56.9;68.6;54.8
17.3;41.1;56.3;68.6;54.8
17.1;41.1;55.6;68.6;54.8
16.8;41.1;54.8;68.6;54.8
16.6;41.1;53.9;68.6;54.8
16.3;41.1;53.0;68.6;54.8
16.0;41.1;52.2;68.6;54.8
15.8;41.1;51.3;68.6;54.8
15.5;41.1;50.5;68.6;54.8
15.3;41.1;49.8;68.6;54.8
15.1;41.1;49.0;68.6;54.8
14.9;41.1;48.3;68.6;54.8
14.7;41.1;47.6;68.6;54.8
14.5;41.1;47.0;68.6;54.8
14.3;41.1;46.4;68.6;54.8
14.1;41.1;45.8;68.6;54.8
13.9;41.1;45.2;68.6;54.8
13.7;41.1;44.6;68.6;54.8
13.6;41.1;44.1;68.6;54.8
13.4;41.1;43.5;68.6;54.8
13.2;41.1;43.0;68.6;54.8
13.0;41.1;42.4;68.6;54.8
12.9;41.1;41.8;68.6;54.8
12.7;41.1;41.3;68.6;54.8
12.6;41.1;40.9;68.6;54.8
12.5;41.1;40.6;68.6;54.8
12.4;41.1;40.4;68.6;54.8
12.4;41.1;40.3;68.6;54.8
12.4;41.1;40.2;68.6;54.8
12.4;41.1;40.4;68.6;54.8
12.6;41.1;40.9;68.6;54.8
12.8;41.1;41.7;68.6;54.8
13.2;41.1;42.9;68.6;54.8
13.6;41.1;44.3;68.6;54.8
14.2;41.1;46.1;68.6;54.8
14.7;41.1;47.8;68.6;54.8
15.1;41.1;49.1;68.6;54.8
15.3;41.1;49.8;68.6;54.8
15.4;41.1;50.1;68.6;54.8
15.4;41.1;49.9;68.6;54.8
15.2;41.1;49.2;68.6;54.8
14.9;41.1;48.4;68.6;54.8
14.7;41.1;47.8;68.6;54.8
14.5;41.1;47.3;68.6;54.8
14.4;41.1;46.9;68.6;54.8
14.4;41.1;46.8;68.6;54.8
14.4;41.1;46.8;68.6;54.8
14.4;41.1;46.7;68.6;54.8
14.3;41.1;46.5;68.6;54.8
14.2;41.1;46.1;68.6;54.8
14.0;41.1;45.4;68.6;54.8
13.7;41.1;44.6;68.6;54.8
13.4;41.1;43.5;68.6;54.8
13.0;41.1;42.4;68.6;54.8
12.6;41.1;41.1;68.6;54.8
12.2;41.1;39.7;68.6;54.8
11.7;41.1;38.2;68.5;54.8
11.3;41.1;36.6;68.5;54.8
