1_G137.1;2_G-56.47;3_G36.31;6_G63.29;8_G40.43
19.8;0.0;127.2;65.4;0.0
20.4;-0.0;126.7;65.4;-0.0
20.8;-0.0;124.6;64.9;-0.0
20.3;-0.0;123.9;64.6;-0.0
20.1;-0.0;124.6;65.0;-0.0
19.7;-0.0;122.7;65.5;-0.0
19.2;-0.0;118.5;65.2;-0.0
18.1;-0.0;117.3;66.2;-0.0
17.3;-0.0;118.7;65.8;-0.0
15.8;-0.0;117.0;66.3;-0.0
15.0;-0.0;119.1;65.8;-0.0
14.3;-0.0;116.6;65.9;-0.0
14.0;-0.0;113.6;64.6;-0.0
13.5;0.0;113.4;65.5;0.0
14.3;0.0;112.9;65.8;0.0
14.9;0.0;112.9;65.6;0.0
15.7;0.0;113.0;64.9;0.0
16.2;0.0;112.0;64.8;0.0
16.7;0.0;108.9;64.4;0.0
16.8;0.0;108.0;64.0;0.0
17.1;0.0;108.9;66.2;0.0
17.1;0.0;110.0;66.6;0.0
17.3;0.0;109.5;66.0;0.0
17.1;0.0;106.3;65.9;0.0
17.1;-0.0;108.0;65.5;-0.0
17.2;-0.0;107.0;64.9;-0.0
17.9;-0.0;107.2;64.2;-0.0
18.2;-0.0;105.6;65.0;-0.0
18.2;-0.0;104.7;65.1;-0.0
18.0;-0.0;105.1;65.7;-0.0
17.5;-0.0;102.5;65.0;-0.0
17.4;-0.0;106.0;64.9;-0.0
16.4;-0.0;103.7;65.3;-0.0
15.6;-0.0;103.7;64.8;-0.0
14.3;-0.0;105.0;64.9;-0.0
13.4;-0.0;104.0;63.1;-0.0
12.4;0.0;104.3;64.5;0.0
11.6;0.0;106.1;65.1;0.0
11.4;0.0;104.8;64.7;0.0
10.7;0.0;105.4;64.5;0.0
10.5;0.0;103.5;65.0;0.0
9.8;0.0;102.3;65.7;0.0
9.4;0.0;104.2;66.0;0.0
8.7;0.0;103.0;64.7;0.0
8.0;0.0;101.7;64.4;0.0
7.2;0.0;101.7;65.3;0.0
6.6;0.0;103.7;65.3;0.0
5.9;0.0;104.0;65.1;0.0
5.5;0.0;105.6;65.3;0.0
5.0;-0.0;105.8;65.8;-0.0
4.7;-0.0;106.0;65.2;-0.0
4.4;-0.0;106.2;64.7;-0.0
4.3;-0.0;106.0;64.9;-0.0
4.1;-0.0;106.8;65.0;-0.0
3.9;-0.0;105.1;65.6;-0.0
3.7;-0.0;107.8;64.4;-0.0
3.6;-0.0;108.3;65.9;-0.0
3.4;-0.0;107.2;65.6;-0.0
3.5;-0.0;108.0;64.5;-0.0
3.5;-0.0;106.1;65.4;-0.0
4.1;-0.0;107.4;66.2;-0.0
4.7;0.0;108.6;65.2;0.0
5.6;0.0;109.2;65.2;0.0
6.8;0.0;108.6;64.4;0.0
8.2;0.0;109.7;64.3;0.0
9.4;0.0;108.9;65.5;0.0
10.4;0.0;110.2;65.9;0.0
11.8;0.0;110.2;65.7;0.0
13.2;0.0;108.5;65.7;0.0
14.2;0.0;108.5;64.9;0.0
15.5;0.0;107.7;65.3;0.0
17.3;0.0;109.4;65.4;0.0
19.0;0.0;106.5;65.2;0.0
21.6;-0.0;103.7;65.1;-0.0
24.3;-0.0;105.6;66.6;-0.0
27.3;-0.0;103.8;64.7;-0.0
30.8;-0.0;103.6;64.5;-0.0
33.9;-0.0;103.9;65.4;-0.0
36.6;-0.0;101.8;65.6;-0.0
39.9;-0.0;101.2;64.8;-0.0
42.9;-0.0;99.4;65.2;-0.0
46.0;-0.0;100.1;64.5;-0.0
49.0;-0.0;96.7;65.1;-0.0
52.3;-0.0;95.4;66.2;-0.0
55.0;0.0;94.8;65.4;0.0
57.0;0.1;94.0;65.8;0.1
60.1;0.2;90.7;65.9;0.2
63.4;0.3;90.5;63.8;0.3
66.1;0.4;88.2;66.1;0.4
67.7;0.5;87.8;64.4;0.6
70.3;0.7;85.7;66.0;0.8
71.8;1.0;85.6;64.4;1.0
74.6;1.3;84.4;65.8;1.4
75.6;1.6;83.3;66.3;1.7
77.8;1.9;81.2;64.7;2.2
77.9;2.4;81.9;65.0;2.7
76.5;2.9;80.8;65.2;3.3
77.8;3.5;79.0;66.1;3.8
78.3;4.1;78.2;66.0;4.7
77.8;4.7;77.6;65.6;5.5
79.1;5.5;78.6;65.6;6.3
77.9;6.2;75.5;65.2;7.3
78.2;6.9;75.5;64.9;8.3
77.2;7.7;75.1;64.6;9.4
76.3;8.5;74.7;65.5;10.4
74.6;9.3;75.3;66.1;11.8
76.1;10.0;74.2;65.7;12.6
72.9;11.0;73.7;65.7;13.8
72.1;11.8;72.3;66.0;15.2
70.2;12.4;72.2;65.8;16.3
69.9;13.5;72.6;65.9;17.6
69.7;14.2;71.5;64.8;18.8
68.9;14.3;70.8;65.6;19.8
67.7;15.5;69.8;65.9;20.8
66.7;15.9;69.6;65.6;22.1
65.2;16.5;69.7;65.0;23.3
65.3;17.0;69.3;65.2;24.4
62.5;17.6;70.2;66.4;24.8
62.9;17.8;69.3;64.1;25.8
61.0;18.5;69.0;64.8;26.6
60.6;19.4;67.5;66.2;27.8
58.9;19.6;68.4;66.0;29.1
60.0;19.8;67.8;65.5;29.8
57.3;20.4;68.2;66.0;30.3
57.6;20.3;68.3;66.1;30.5
57.1;20.8;66.5;65.7;31.2
56.2;21.2;67.4;67.0;32.1
55.3;21.6;68.2;65.8;32.2
55.6;21.7;66.9;67.0;33.1
55.2;22.0;66.1;66.2;33.4
54.7;22.3;66.8;66.1;33.1
54.4;22.4;67.9;65.9;35.2
54.8;22.4;67.4;65.7;35.1
54.7;22.6;66.2;65.0;34.3
55.3;22.5;65.8;65.1;35.2
53.6;22.7;65.4;65.8;34.9
54.6;22.6;66.4;66.3;35.1
55.3;22.4;65.8;66.5;35.3
55.9;22.6;65.9;65.7;35.5
55.4;22.9;65.1;66.0;35.8
56.8;23.0;65.4;65.0;35.4
56.1;22.8;65.7;66.1;34.6
57.4;23.0;64.8;65.5;34.8
58.4;22.7;65.4;65.2;34.1
58.6;22.3;64.7;66.8;34.3
58.9;22.3;63.6;65.6;34.1
58.5;22.3;64.8;65.6;34.0
59.7;22.3;64.7;67.6;32.7
59.5;21.8;63.3;67.8;32.4
60.3;21.7;66.1;66.0;31.5
60.2;21.9;66.6;66.4;30.9
61.8;22.0;65.3;66.9;30.5
63.2;21.6;65.2;65.9;29.7
64.5;21.3;65.9;65.6;28.7
66.1;21.4;65.4;65.3;27.6
67.0;20.7;66.5;65.4;27.2
67.2;20.6;65.2;66.4;26.6
66.6;20.2;65.6;65.9;25.4
69.6;19.7;65.4;64.1;24.6
68.4;19.2;66.1;65.6;23.5
69.5;19.0;66.2;66.3;22.6
69.9;18.1;67.4;66.5;21.7
72.9;18.1;66.6;66.2;21.1
71.6;18.0;66.1;66.3;20.2
72.0;17.3;67.3;65.3;19.0
73.0;16.8;65.6;65.9;18.2
74.3;16.0;66.7;67.0;17.2
75.0;15.6;66.3;66.0;16.0
77.6;15.1;66.4;65.6;15.1
78.1;14.2;66.2;67.4;14.0
79.7;13.6;65.9;66.5;13.1
81.9;13.1;66.0;65.8;12.3
83.2;12.4;66.3;66.0;11.6
84.3;11.7;66.2;65.2;10.4
86.3;11.0;66.7;65.3;9.6
86.4;10.2;66.8;66.1;8.8
